"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
2007,1129,399,1859,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2008,1061,0,2150,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2009,6317,0,13857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2010,6223,0,13553,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2012,578,0,1734,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2013,14831,0,35092,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2014,38609,2210,75009,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2015,32475,7651,57299,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2016,25183,0,51935,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2017,45851,0,102289,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2018,648,0,1904,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2019,3295,0,8318,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2020,4385,0,10325,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2021,448,0,1118,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2022,327,95,559,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1981,1213,0,3604,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1986,933,0,2349,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1988,1337,0,2896,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1989,532,0,1095,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1990,441,0,1229,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1991,411,0,1145,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1992,300,0,827,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1993,3601,0,7441,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1994,1361,0,3297,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1995,440,0,1202,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1996,102,0,303,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1997,76,0,192,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1998,884,0,1834,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1999,4,0,12,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2000,86,0,255,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2001,515,0,1481,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2002,36,0,111,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2003,46,0,139,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2005,5102,0,11712,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2007,698,0,1645,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2009,163,0,539,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2010,105,0,341,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2011,174,0,536,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2012,183,98,268,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2014,4230,1876,6585,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2015,258,0,737,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2016,699,0,1746,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2017,522,0,1132,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2018,409,0,1218,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
2020,378,0,1036,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","NORTH ATLANTIC"
1989,10581,0,32190,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SILKY SHARK","MID-ATLANTIC"
1983,455,0,1121,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1986,1893,0,4723,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1987,942,0,2793,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1989,2245,0,5466,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1990,501,0,1514,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1991,5,0,14,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
2013,1678,1270,2086,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
2021,7,0,20,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SPINNER SHARK","NORTH ATLANTIC"
1985,506,0,1476,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1986,2916,0,7099,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1987,1755,0,5390,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1989,5517,0,11887,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1990,855,0,2461,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1992,627,0,1573,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1994,2127,0,6091,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1996,2772,0,7483,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1997,3677,0,10165,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1999,10313,0,23371,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2000,526,0,1553,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2002,5054,0,12177,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2005,170,0,410,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2006,4504,991,8018,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2007,3660,0,8216,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2008,653,0,1828,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2009,9878,0,26372,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2010,1005,0,2573,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2014,9323,0,27084,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2015,41800,7964,75636,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2016,11114,0,24925,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2017,10966,0,22315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2018,4472,0,9844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2019,8190,0,17789,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2020,1546,0,3540,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2021,404,0,1196,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2022,5368,0,14238,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2023,1135,0,2910,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1988,89,0,269,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1989,42,0,124,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1990,127,0,309,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1994,90,0,263,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1995,118,0,353,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2007,996,0,2598,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2008,564,292,836,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2014,303,0,929,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2017,314,0,941,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2018,3,0,9,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2019,1006,0,2857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2022,443,0,1324,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
2024,4642,0,12266,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","NORTH ATLANTIC"
1985,200,0,602,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1986,3093,0,6288,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1989,485,0,1450,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1990,501,0,1516,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
2015,1480,0,4285,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1984,796,0,2423,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WHITE SHARK","MID-ATLANTIC"
